QUESTION_ID,OPTION,SCORE_SKU,WEIGHT,NOTES
health_which_of_the_below_are_your_top_two_prior,Healthy lifestyle,Energy,3,Primary push
health_which_of_the_below_are_your_top_two_prior,More energy,Energy,3,Primary push
health_which_of_the_below_are_your_top_two_prior,Better immunity,Immunity,3,Primary push
health_which_of_the_below_are_your_top_two_prior,Better focus & memory,Balance,3,Primary push
health_which_of_the_below_are_your_top_two_prior,Improved skin,Beauty,3,Primary push
health_which_of_the_below_are_your_top_two_prior,Healthier hair & nails,Beauty,3,Primary push
health_which_of_the_below_are_your_top_two_prior,Menstrual cycle health,Balance,3,Primary push
health_which_of_the_below_are_your_top_two_prior,Support menopause,Balance,3,Primary push
health_which_of_the_below_are_your_top_two_prior,Gut health & digestion,Detox,3,Primary push
health_which_of_the_below_are_your_top_two_prior,Increase libido,Energy,3,Primary push
health_which_of_the_below_are_your_top_two_prior,Feel more rested,Balance,3,Primary push
health_which_of_the_below_are_your_top_two_prior,Bone & joint health,Immunity,3,Primary push
health_which_of_the_below_are_your_top_two_prior,Support a positive mood,Balance,3,Primary push
health_which_of_the_below_are_your_top_two_prior,Support healthy aging,Beauty,3,Primary push
health_which_of_the_below_are_your_top_two_prior,Heart health,Energy,3,Primary push
health_which_of_the_below_are_your_top_two_prior,Improve performance & recovery,Detox,3,Primary push
diet_how_often_do_you_consume_processed_food_in_,3-4 times a day,Detox,3,Primary push
diet_how_often_do_you_consume_processed_food_in_,5+ times,Detox,3,Primary push
